quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-4.91509,-0.0536033,-4.86153,-0.546677,-4.9997,-0.054526,-4.97429,-0.458628
-4.91477,-0.0776689,-4.8575,-0.58265,-4.99938,-0.0790059,-4.97364,-0.482699
-4.91424,-0.106083,-4.85523,-0.602006,-4.99884,-0.107909,-4.97301,-0.501924
-4.91373,-0.12736,-4.85253,-0.624113,-4.99832,-0.129553,-4.97218,-0.523522
-4.91304,-0.151866,-4.8508,-0.637922,-4.99761,-0.15448,-4.97188,-0.530714
-4.91224,-0.175824,-4.84723,-0.665522,-4.9968,-0.178851,-4.97052,-0.559459
-4.91129,-0.200474,-4.84501,-0.682069,-4.99584,-0.203925,-4.96975,-0.573817
-4.91024,-0.224828,-4.84119,-0.709629,-4.99477,-0.228698,-4.9682,-0.600121
-4.90884,-0.253471,-4.83722,-0.737166,-4.99335,-0.257835,-4.96662,-0.624016
-4.90766,-0.275395,-4.83309,-0.764681,-4.99215,-0.280136,-4.96576,-0.635959
-4.90606,-0.30265,-4.82881,-0.792174,-4.99051,-0.30786,-4.96469,-0.650289
-4.90475,-0.323108,-4.82301,-0.827882,-4.98919,-0.32867,-4.96275,-0.67417
-4.90298,-0.348891,-4.81836,-0.855322,-4.98739,-0.354897,-4.9613,-0.690887
-4.90127,-0.372224,-4.81502,-0.874514,-4.98564,-0.378632,-4.95884,-0.717165
-4.89922,-0.398228,-4.81011,-0.901909,-4.98356,-0.405083,-4.95692,-0.736288
-4.89715,-0.422989,-4.80506,-0.92927,-4.98145,-0.430271,-4.95383,-0.764998
-4.89467,-0.450729,-4.8009,-0.951133,-4.97893,-0.458489,-4.95106,-0.788953
-4.89285,-0.47011,-4.79557,-0.978425,-4.97708,-0.478203,-4.94718,-0.820148
-4.89043,-0.494683,-4.7901,-1.00567,-4.97461,-0.503199,-4.94561,-0.832164
-4.88788,-0.519201,-4.78447,-1.03288,-4.97203,-0.528139,-4.94164,-0.86105
-4.88524,-0.543549,-4.77871,-1.06003,-4.96934,-0.552907,-4.93813,-0.885177
-4.88248,-0.567803,-4.77518,-1.0763,-4.96653,-0.577577,-4.93443,-0.909359
-4.87958,-0.592219,-4.771,-1.09525,-4.96358,-0.602414,-4.93134,-0.928747
-4.87625,-0.618979,-4.76181,-1.13577,-4.9602,-0.629635,-4.9273,-0.953041
-4.8734,-0.64103,-4.75678,-1.15733,-4.9573,-0.652065,-4.92307,-0.977402
-4.87009,-0.665734,-4.74907,-1.18959,-4.95393,-0.677194,-4.91866,-1.00183
-4.86672,-0.689908,-4.74711,-1.19765,-4.9505,-0.701785,-4.91405,-1.02634
-4.8632,-0.714311,-4.73914,-1.2298,-4.94692,-0.726608,-4.91168,-1.03863
-4.85955,-0.738739,-4.73235,-1.25652,-4.94321,-0.751456,-4.90629,-1.06573
-4.85584,-0.762739,-4.72332,-1.29115,-4.93944,-0.77587,-4.90274,-1.08303
-4.85198,-0.786909,-4.71837,-1.30975,-4.93551,-0.800456,-4.8959,-1.11528
-4.84798,-0.81119,-4.70898,-1.34419,-4.93144,-0.825155,-4.89208,-1.1327
-4.84384,-0.83558,-4.70384,-1.36268,-4.92723,-0.849965,-4.88646,-1.15768
-4.83959,-0.859841,-4.69637,-1.38903,-4.92291,-0.874644,-4.88065,-1.18276
-4.83532,-0.88357,-4.68646,-1.42316,-4.91856,-0.898781,-4.87464,-1.20794
-4.83076,-0.908131,-4.68104,-1.44148,-4.91393,-0.923764,-4.86845,-1.23322
-4.82621,-0.932048,-4.67317,-1.46757,-4.90929,-0.948094,-4.86206,-1.2586
-4.8215,-0.956077,-4.66598,-1.49098,-4.90451,-0.972536,-4.85547,-1.28409
-4.81451,-0.990713,-4.65786,-1.5169,-4.89739,-1.00777,-4.84869,-1.30968
-4.81162,-1.00462,-4.65045,-1.54016,-4.89446,-1.02191,-4.84172,-1.33538
-4.80664,-1.02819,-4.64628,-1.55304,-4.88939,-1.04589,-4.83455,-1.36119
-4.80145,-1.05217,-4.63701,-1.58131,-4.88411,-1.07028,-4.82867,-1.38192
-4.79603,-1.07659,-4.6336,-1.59156,-4.8786,-1.09512,-4.81962,-1.41315
-4.79061,-1.10048,-4.62585,-1.61457,-4.87308,-1.11943,-4.81264,-1.43667
